cohort,n,dag,n_specs,mean,sd_model,mean_se
2007,3906,W1 成績=交絡(R=G*)・婚姻=コライダー,1,0.53731210986477,0,0.0198828968351767
2007,3906,W2 成績=交絡(R=G*)・婚姻=精度変数,2,0.529052564604734,0.0116807609257777,0.019911963481321
2007,3906,W3 成績=回顧の子孫・婚姻=コライダー,1,0.544379271521783,0,0.0199626485106715
2007,3906,W4 成績=回顧の子孫・婚姻=精度変数,2,0.536070510115225,0.0117503630676766,0.0199930952113729
2007,3906,W5 成績=混合(G*潜在)・婚姻=コライダー,0,,,
2007,3906,naive (all 32),32,0.474588820165501,0.0417533648869984,0.0207344153515711
2011,741,W1 成績=交絡(R=G*)・婚姻=コライダー,1,0.602398101283563,0,0.0455535915222193
2011,741,W2 成績=交絡(R=G*)・婚姻=精度変数,2,0.599247374489851,0.00445580056299931,0.0455264501572879
2011,741,W3 成績=回顧の子孫・婚姻=コライダー,1,0.609233271883295,0,0.0460529900386277
2011,741,W4 成績=回顧の子孫・婚姻=精度変数,2,0.605920364850305,0.00468515805693556,0.0459865163388292
2011,741,W5 成績=混合(G*潜在)・婚姻=コライダー,0,,,
2011,741,naive (all 32),32,0.554720938847786,0.0321766146094451,0.0466071867351341
2019,1978,W1 成績=交絡(R=G*)・婚姻=コライダー,1,0.525603902311076,0,0.0281633884943338
2019,1978,W2 成績=交絡(R=G*)・婚姻=精度変数,2,0.518587596765588,0.0099225544601829,0.0281970228786364
2019,1978,W3 成績=回顧の子孫・婚姻=コライダー,1,0.528256901718809,0,0.0279770366861563
2019,1978,W4 成績=回顧の子孫・婚姻=精度変数,2,0.52111017497136,0.0101069978928169,0.0280099745240864
2019,1978,W5 成績=混合(G*潜在)・婚姻=コライダー,0,,,
2019,1978,naive (all 32),32,0.476061568372325,0.0363602805589324,0.0288976603873717
