cohort,stage,n,univ_share,female_share,age_min,age_max,mean_age
2007,0_first_wave_respondents,4800,0.301,0.506,23,45,34
2011,0_first_wave_respondents,963,0.309,0.502,23,45,33.8
2019,0_first_wave_respondents,2383,0.303,0.509,23,45,34.1
all,0_first_wave_respondents,8146,0.302,0.506,23,45,34
2007,1_age25_45,4376,0.301,0.505,25,45,35
2011,1_age25_45,855,0.309,0.503,25,45,35.1
2019,1_age25_45,2196,0.304,0.504,25,45,35
all,1_age25_45,7427,0.303,0.504,25,45,35
2007,2_employee,3906,0.316,0.507,25,45,35
2011,2_employee,741,0.323,0.507,25,45,35.1
2019,2_employee,1978,0.311,0.511,25,45,34.9
all,2_employee,6625,0.315,0.508,25,45,35
2007,3_pos_income,3906,0.316,0.507,25,45,35
2011,3_pos_income,741,0.323,0.507,25,45,35.1
2019,3_pos_income,1978,0.311,0.511,25,45,34.9
all,3_pos_income,6625,0.315,0.508,25,45,35
2007,4_complete_licensed_vars,3906,0.316,0.507,25,45,35
2011,4_complete_licensed_vars,741,0.323,0.507,25,45,35.1
2019,4_complete_licensed_vars,1978,0.311,0.511,25,45,34.9
all,4_complete_licensed_vars,6625,0.315,0.508,25,45,35
2007,5_complete_all_vars,3906,0.316,0.507,25,45,35
2011,5_complete_all_vars,741,0.323,0.507,25,45,35.1
2019,5_complete_all_vars,1978,0.311,0.511,25,45,34.9
all,5_complete_all_vars,6625,0.315,0.508,25,45,35
