variant,top_value_man,n_top_band,ctrl,estimate,se,gap_none_minus_grades
baseline,2500,,(none),0.546426526658251,0.0153016741026034,0.00563814027216336
baseline,2500,,married,0.53138437343638,0.015326380827283,0.00563814027216336
baseline,2500,,grades,0.540788386386088,0.0152946067522659,0.00563814027216336
baseline,2500,,married;grades,0.525942137693112,0.015322267394812,0.00563814027216336
memo_2250,2250,,(none),0.54623009914077,0.0152930143107864,0.00562941522501292
memo_2250,2250,,married,0.531194985238417,0.0153183989173931,0.00562941522501292
memo_2250,2250,,grades,0.540600683915757,0.0152868848184821,0.00562941522501292
memo_2250,2250,,married;grades,0.52576127214485,0.0153151345381801,0.00562941522501292
x0.75_below_band_lower_bound,1875,,(none),0.545890190299634,0.0152795468678202,0.00561431692970171
x0.75_below_band_lower_bound,1875,,married,0.530867257617972,0.0153060113709057,0.00561431692970171
x0.75_below_band_lower_bound,1875,,grades,0.540275873369932,0.0152749107983873,0.00561431692970171
x0.75_below_band_lower_bound,1875,,married;grades,0.52544829258018,0.0153040956683736,0.00561431692970171
x1.5,3750,,(none),0.547182450299126,0.0153409711039424,0.0056717173874985
x1.5,3750,,married,0.532113207247335,0.0153627044010622,0.0056717173874985
x1.5,3750,,grades,0.541510732911628,0.0153297874001724,0.0056717173874985
x1.5,3750,,married;grades,0.526638173286815,0.0153548510003815,0.0056717173874985
