spec_id,ctrl,estimate,se,p,licensed_by
1,(none),0.546426526658251,0.0153016741026034,2.74132327605424e-279,"W3,W4"
2,occ,0.547715608959729,0.0159797738153962,1.81570932967465e-257,none
3,firm,0.492208909308167,0.0157719174704461,8.31656355919356e-214,none
4,occ;firm,0.493319614847031,0.0164288463320914,4.27596595649258e-198,none
5,regular,0.496211771817615,0.0151846704647212,3.15922218862291e-234,none
6,occ;regular,0.496370090605126,0.0158919775150768,3.6817315972126e-214,none
7,firm;regular,0.443119295284235,0.0156579616233227,3.46226108706335e-176,none
8,occ;firm;regular,0.443090158577102,0.0163353339637532,5.04286090550438e-162,none
9,married,0.53138437343638,0.015326380827283,2.13930752468408e-263,W4
10,occ;married,0.531771289564218,0.0159908171974167,1.74041901755109e-242,none
11,firm;married,0.476936933020079,0.0158108118952504,6.77062536260204e-200,none
12,occ;firm;married,0.477151990931172,0.0164602745612057,9.29590520252005e-185,none
13,regular;married,0.482063585175062,0.0151936086595213,6.37716053534663e-221,none
14,occ;regular;married,0.481316244706134,0.0158770729024516,7.23365137425591e-202,none
15,firm;regular;married,0.428730492924218,0.0156873428797399,1.88211886660558e-164,none
16,occ;firm;regular;married,0.427802052491198,0.0163462726415276,5.65090644610136e-151,none
17,grades,0.540788386386088,0.0152946067522659,7.52499615958887e-274,"W1,W2"
18,occ;grades,0.541804777279715,0.015978616604382,5.05805291293618e-252,none
19,firm;grades,0.486665521797241,0.015751278251992,1.31503950556177e-209,none
20,occ;firm;grades,0.487503082359754,0.0164134878776751,7.37202543808586e-194,none
21,regular;grades,0.490782131297934,0.0151708155978619,1.36895063055607e-229,none
22,occ;regular;grades,0.490653446552549,0.0158892293414303,2.24279917190751e-209,none
23,firm;regular;grades,0.437783896489335,0.0156297742804784,1.24094622693115e-172,none
24,occ;firm;regular;grades,0.43746857802351,0.016315498740569,2.27520159495479e-158,none
25,married;grades,0.525942137693112,0.015322267394812,3.28617749472841e-258,W2
26,occ;married;grades,0.526057764681569,0.0159933056790275,2.82535781288706e-237,none
27,firm;married;grades,0.471589454172478,0.0157917848069858,5.95915797062662e-196,none
28,occ;firm;married;grades,0.471532895751955,0.0164464580279681,8.82866693579397e-181,none
29,regular;married;grades,0.476818745473666,0.0151799598367755,1.42879547300342e-216,none
30,occ;regular;married;grades,0.475786660403292,0.01587533753252,2.40231607187268e-197,none
31,firm;regular;married;grades,0.423579995835861,0.0156588241954782,3.76175165779101e-161,none
32,occ;firm;regular;married;grades,0.42236771924454,0.0163261868574478,1.42830896399227e-147,none
