analysis,cohort,n,univ_share,ctrl,estimate,se
common_support_25_32,2007,1490,0.326,(none),0.544548690064663,0.0327639351337035
common_support_25_32,2007,1490,0.326,married,0.523162869395531,0.0332186215525067
common_support_25_32,2007,1490,0.326,grades,0.536712430165312,0.0327188644171683
common_support_25_32,2007,1490,0.326,married;grades,0.515661977002983,0.0332117959579627
common_support_25_32,2011,281,0.295,(none),0.693630106585319,0.0734473778067853
common_support_25_32,2011,281,0.295,married,0.693252553419719,0.0746203078010866
common_support_25_32,2011,281,0.295,grades,0.693825726925133,0.0735881511294478
common_support_25_32,2011,281,0.295,married;grades,0.693483480334386,0.0747746325903746
common_support_25_32,2019,766,0.309,(none),0.51635141121726,0.0467891062513186
common_support_25_32,2019,766,0.309,married,0.500146646372422,0.0468271662553339
common_support_25_32,2019,766,0.309,grades,0.506299639831397,0.0474712166256377
common_support_25_32,2019,766,0.309,married;grades,0.492072841234864,0.0474871602525465
common_support_25_32,all,2537,0.317,(none),0.549274215658689,0.0250972242201044
common_support_25_32,all,2537,0.317,married,0.532617355722941,0.0253822122417806
common_support_25_32,all,2537,0.317,grades,0.542499033862492,0.0251250226619727
common_support_25_32,all,2537,0.317,married;grades,0.526592923868951,0.0254260400254417
common_support_25_31,2007,1312,0.332,(none),0.542162453419569,0.0349109567122568
common_support_25_31,2007,1312,0.332,married,0.52279016904347,0.0355906047012899
common_support_25_31,2007,1312,0.332,grades,0.534280275937103,0.0349169336408523
common_support_25_31,2007,1312,0.332,married;grades,0.515348709670198,0.0356307781541711
common_support_25_31,2011,248,0.29,(none),0.71260198817303,0.0784468982577354
common_support_25_31,2011,248,0.29,married,0.716818844293485,0.08040908632792
common_support_25_31,2011,248,0.29,grades,0.71260633245665,0.0787335690651769
common_support_25_31,2011,248,0.29,married;grades,0.716887967115207,0.0807426594491804
common_support_25_31,2019,682,0.308,(none),0.550879553474092,0.0487632829464874
common_support_25_31,2019,682,0.308,married,0.535672101355164,0.0489072243667527
common_support_25_31,2019,682,0.308,grades,0.546492618416977,0.0498066167997564
common_support_25_31,2019,682,0.308,married;grades,0.532388793412012,0.0499185162798725
common_support_25_31,all,2242,0.32,(none),0.558069720447625,0.0266077446575031
common_support_25_31,all,2242,0.32,married,0.543104692325075,0.0270316854583471
common_support_25_31,all,2242,0.32,grades,0.552329884772739,0.0266913344942762
common_support_25_31,all,2242,0.32,married;grades,0.538018770084958,0.0271230366605334
max_sample_licensed_vars_complete,all,6625,0.315,(none),0.546426526658251,0.0153016741026034
max_sample_licensed_vars_complete,all,6625,0.315,married,0.53138437343638,0.015326380827283
max_sample_licensed_vars_complete,all,6625,0.315,grades,0.540788386386088,0.0152946067522659
max_sample_licensed_vars_complete,all,6625,0.315,married;grades,0.525942137693112,0.015322267394812
main_sample,all,6625,0.315,(none),0.546426526658251,0.0153016741026034
main_sample,all,6625,0.315,married,0.53138437343638,0.015326380827283
main_sample,all,6625,0.315,grades,0.540788386386088,0.0152946067522659
main_sample,all,6625,0.315,married;grades,0.525942137693112,0.015322267394812
main_sample_excl_working_students,all,6202,0.324,(none),0.54355573015666,0.0156616183400609
main_sample_excl_working_students,all,6202,0.324,married,0.52838710088933,0.015697409407158
main_sample_excl_working_students,all,6202,0.324,grades,0.537901105215446,0.0156586574370445
main_sample_excl_working_students,all,6202,0.324,married;grades,0.522891183446511,0.0156972950710875
main_sample_income_midpoints,all,6625,0.315,(none),0.541237255004771,0.0152060588931646
main_sample_income_midpoints,all,6625,0.315,married,0.526406220188775,0.0152304577193743
main_sample_income_midpoints,all,6625,0.315,grades,0.5356911903053,0.0152006163584914
main_sample_income_midpoints,all,6625,0.315,married;grades,0.521053075019883,0.0152276347687668
main_sample_grades_categorical,all,6625,0.315,(none),0.546426526658251,0.0153016741026034
main_sample_grades_categorical,all,6625,0.315,married,0.53138437343638,0.015326380827283
main_sample_grades_categorical,all,6625,0.315,grades,0.54037881179458,0.0153022620247045
main_sample_grades_categorical,all,6625,0.315,married;grades,0.525468828320881,0.0153298744030153
age_range_by_cohort,2007,3906,,ages 25-45,,
age_range_by_cohort,2011,741,,ages 25-45,,
age_range_by_cohort,2019,1978,,ages 25-45,,
