spec_id,ctrl,W1,W2,W3,W4,W5
1,(none),FALSE,FALSE,TRUE,TRUE,FALSE
2,occ,FALSE,FALSE,FALSE,FALSE,FALSE
3,firm,FALSE,FALSE,FALSE,FALSE,FALSE
4,occ;firm,FALSE,FALSE,FALSE,FALSE,FALSE
5,regular,FALSE,FALSE,FALSE,FALSE,FALSE
6,occ;regular,FALSE,FALSE,FALSE,FALSE,FALSE
7,firm;regular,FALSE,FALSE,FALSE,FALSE,FALSE
8,occ;firm;regular,FALSE,FALSE,FALSE,FALSE,FALSE
9,married,FALSE,FALSE,FALSE,TRUE,FALSE
10,occ;married,FALSE,FALSE,FALSE,FALSE,FALSE
11,firm;married,FALSE,FALSE,FALSE,FALSE,FALSE
12,occ;firm;married,FALSE,FALSE,FALSE,FALSE,FALSE
13,regular;married,FALSE,FALSE,FALSE,FALSE,FALSE
14,occ;regular;married,FALSE,FALSE,FALSE,FALSE,FALSE
15,firm;regular;married,FALSE,FALSE,FALSE,FALSE,FALSE
16,occ;firm;regular;married,FALSE,FALSE,FALSE,FALSE,FALSE
17,grades,TRUE,TRUE,FALSE,FALSE,FALSE
18,occ;grades,FALSE,FALSE,FALSE,FALSE,FALSE
19,firm;grades,FALSE,FALSE,FALSE,FALSE,FALSE
20,occ;firm;grades,FALSE,FALSE,FALSE,FALSE,FALSE
21,regular;grades,FALSE,FALSE,FALSE,FALSE,FALSE
22,occ;regular;grades,FALSE,FALSE,FALSE,FALSE,FALSE
23,firm;regular;grades,FALSE,FALSE,FALSE,FALSE,FALSE
24,occ;firm;regular;grades,FALSE,FALSE,FALSE,FALSE,FALSE
25,married;grades,FALSE,TRUE,FALSE,FALSE,FALSE
26,occ;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
27,firm;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
28,occ;firm;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
29,regular;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
30,occ;regular;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
31,firm;regular;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
32,occ;firm;regular;married;grades,FALSE,FALSE,FALSE,FALSE,FALSE
